2026-03-23 13:31:18 | INFO     | scraper.tenderdetail | [TenderDetail] page 1 for 'Material codification, Cataloguing and classification'
2026-03-23 13:31:59 | INFO     | scraper.tenderdetail | [tenderdetail] Got 0 results for 'Material codification, Cataloguing and classification'
2026-03-23 13:31:59 | INFO     | scraper.tenderdetail | [tenderdetail] Scraping keyword: Service master
2026-03-23 13:32:04 | INFO     | scraper.tenderdetail | [TenderDetail] page 1 for 'Service master'
2026-03-23 13:32:49 | INFO     | scraper.tenderdetail | [tenderdetail] Got 3 results for 'Service master'
2026-03-23 13:32:49 | INFO     | scraper.tenderdetail | [tenderdetail] Scraping keyword: Vendor master
2026-03-23 13:32:54 | INFO     | scraper.tenderdetail | [TenderDetail] page 1 for 'Vendor master'
2026-03-23 13:33:33 | INFO     | scraper.tenderdetail | [tenderdetail] Got 0 results for 'Vendor master'
2026-03-23 13:33:33 | INFO     | scraper.tenderdetail | [tenderdetail] Scraping keyword: Asset Master
2026-03-23 13:33:38 | INFO     | scraper.tenderdetail | [TenderDetail] page 1 for 'Asset Master'
2026-03-23 13:34:22 | INFO     | scraper.tenderdetail | [tenderdetail] Got 0 results for 'Asset Master'
2026-03-23 13:34:22 | INFO     | scraper.tenderdetail | [tenderdetail] Scraping keyword: Asset Verification
2026-03-23 13:34:27 | INFO     | scraper.tenderdetail | [TenderDetail] page 1 for 'Asset Verification'
2026-03-23 13:35:09 | INFO     | scraper.tenderdetail | [tenderdetail] Got 2 results for 'Asset Verification'
2026-03-23 13:35:09 | INFO     | scraper.tenderdetail | [tenderdetail] Scraping keyword: bill of material
2026-03-23 13:35:14 | INFO     | scraper.tenderdetail | [TenderDetail] page 1 for 'bill of material'
2026-03-23 13:35:57 | INFO     | scraper.tenderdetail | [tenderdetail] Got 1 results for 'bill of material'
2026-03-23 13:35:57 | INFO     | scraper.tenderdetail | [tenderdetail] Scraping keyword: Material master
2026-03-23 13:36:02 | INFO     | scraper.tenderdetail | [TenderDetail] page 1 for 'Material master'
2026-03-23 13:36:45 | INFO     | scraper.tenderdetail | [tenderdetail] Got 2 results for 'Material master'
2026-03-23 13:36:45 | INFO     | scraper.tenderdetail | [tenderdetail] Scraping keyword: data codification
2026-03-23 13:36:50 | INFO     | scraper.tenderdetail | [TenderDetail] page 1 for 'data codification'
2026-03-23 13:37:03 | INFO     | scraper.tenderdetail | [tenderdetail] Got 0 results for 'data codification'
2026-03-23 13:37:03 | INFO     | scraper.tenderdetail | [tenderdetail] Scraping keyword: mdm
2026-03-23 13:37:08 | INFO     | scraper.tenderdetail | [TenderDetail] page 1 for 'mdm'
2026-03-23 13:37:59 | INFO     | scraper.tenderdetail | [tenderdetail] Got 9 results for 'mdm'
2026-03-23 13:38:01 | INFO     | scraper.tenderdetail | Driver closed
2026-03-23 15:53:33 | INFO     | scraper.tenderdetail | Driver started (headless=False)
2026-03-23 15:53:33 | INFO     | scraper.tenderdetail | [tenderdetail] Scraping keyword: Data Cataloguing
2026-03-23 15:53:39 | INFO     | scraper.tenderdetail | [TenderDetail] page 1 for 'Data Cataloguing'
2026-03-23 15:54:18 | INFO     | scraper.tenderdetail | [tenderdetail] Got 0 results for 'Data Cataloguing'
2026-03-23 15:54:18 | INFO     | scraper.tenderdetail | [tenderdetail] Scraping keyword: Material Codification
2026-03-23 15:54:24 | INFO     | scraper.tenderdetail | [TenderDetail] page 1 for 'Material Codification'
2026-03-23 15:54:59 | ERROR    | scraper.tenderdetail | [TenderDetail] scrape error: Message: invalid session id
Stacktrace:
	chromedriver!GetHandleVerifier [0x477c13+10dd3]
	chromedriver!GetHandleVerifier [0x477d44+10f04]
	chromedriver!(No symbol) [0x251d8e]
	chromedriver!(No symbol) [0x28f2b5]
	chromedriver!(No symbol) [0x2bd7c6]
	chromedriver!(No symbol) [0x2b8c41]
	chromedriver!(No symbol) [0x2b8262]
	chromedriver!(No symbol) [0x22517e]
	chromedriver!(No symbol) [0x22571e]
	chromedriver!(No symbol) [0x225bfd]
	chromedriver!GetHandleVerifier [0x6d4509+26d6c9]
	chromedriver!GetHandleVerifier [0x6cfb43+268d03]
	chromedriver!GetHandleVerifier [0x6ed85b+286a1b]
	chromedriver!GetHandleVerifier [0x491668+2a828]
	chromedriver!GetHandleVerifier [0x4997fd+329bd]
	chromedriver!(No symbol) [0x224ee9]
	chromedriver!(No symbol) [0x224530]
	chromedriver!GetHandleVerifier [0x81dc9f+3b6e5f]
	KERNEL32!BaseThreadInitThunk [0x762c5d49+19]
	ntdll!RtlInitializeExceptionChain [0x7748d83b+6b]
	ntdll!RtlGetAppContainerNamedObjectPath [0x7748d7c1+231]

2026-03-23 15:54:59 | INFO     | scraper.tenderdetail | [tenderdetail] Got 3 results for 'Material Codification'
2026-03-23 15:54:59 | INFO     | scraper.tenderdetail | [tenderdetail] Scraping keyword: Master data management
2026-03-23 15:54:59 | WARNING  | scraper.tenderdetail | safe_get attempt 1/3 failed: Message: invalid session id
Stacktrace:
	chromedriver!GetHandleVerifier [0x477c13+10dd3]
	chromedriver!GetHandleVerifier [0x477d44+10f04]
	chromedriver!(No symbol) [0x251d8e]
	chromedriver!(No symbol) [0x28f2b5]
	chromedriver!(No symbol) [0x2bd7c6]
	chromedriver!(No symbol) [0x2b8c41]
	chromedriver!(No symbol) [0x2b8262]
	chromedriver!(No symbol) [0x22517e]
	chromedriver!(No symbol) [0x22571e]
	chromedriver!(No symbol) [0x225bfd]
	chromedriver!GetHandleVerifier [0x6d4509+26d6c9]
	chromedriver!GetHandleVerifier [0x6cfb43+268d03]
	chromedriver!GetHandleVerifier [0x6ed85b+286a1b]
	chromedriver!GetHandleVerifier [0x491668+2a828]
	chromedriver!GetHandleVerifier [0x4997fd+329bd]
	chromedriver!(No symbol) [0x224ee9]
	chromedriver!(No symbol) [0x224530]
	chromedriver!GetHandleVerifier [0x81dc9f+3b6e5f]
	KERNEL32!BaseThreadInitThunk [0x762c5d49+19]
	ntdll!RtlInitializeExceptionChain [0x7748d83b+6b]
