2026-03-27 10:28:11 | INFO     | scraper_service | Redis connected
2026-03-27 10:41:19 | INFO     | scraper_service | Redis connected
2026-03-27 10:43:55 | INFO     | scraper_service | Redis connected
2026-03-27 10:49:38 | INFO     | scraper_service | Redis connected
2026-03-27 10:50:08 | INFO     | scraper_service | Redis connected
2026-03-27 17:00:21 | INFO     | scraper_service | Redis connected
2026-03-27 17:00:50 | INFO     | scraper_service | Redis connected
2026-03-31 11:55:08 | INFO     | scraper_service | Redis connected
2026-03-31 11:56:20 | INFO     | scraper_service | Redis connected
2026-03-31 12:16:53 | INFO     | scraper_service | [tenderdetail] completed — found=18 saved=18
2026-03-31 12:18:37 | INFO     | scraper_service | [tender247] completed — found=38 saved=38
2026-03-31 12:24:44 | INFO     | scraper_service | [biddetail] completed — found=113 saved=113
2026-03-31 12:27:44 | INFO     | scraper_service | [gem] completed — found=5 saved=5
2026-03-31 12:35:54 | INFO     | scraper_service | Redis connected
2026-03-31 12:59:05 | INFO     | scraper_service | [gem] completed — found=7 saved=7
2026-03-31 13:09:43 | INFO     | scraper_service | [tenderontime] completed — found=63 saved=63
2026-04-01 09:54:51 | INFO     | scraper_service | Redis connected
2026-04-01 10:02:50 | ERROR    | scraper_service | [biddetail] failed: Could not reach host. Are you offline?
2026-04-01 10:02:50 | ERROR    | scraper_service | [tender247] failed: Could not reach host. Are you offline?
2026-04-01 10:02:51 | ERROR    | scraper_service | [tenderdetail] failed: Could not reach host. Are you offline?
2026-04-01 10:03:22 | ERROR    | scraper_service | [gem] failed: Message: 'chromedriver.exe' executable may have wrong permissions.

2026-04-01 10:39:56 | INFO     | scraper_service | [tender247] completed — found=39 saved=39
2026-04-01 10:43:13 | INFO     | scraper_service | [tenderdetail] completed — found=20 saved=20
2026-04-01 10:49:45 | INFO     | scraper_service | [biddetail] completed — found=109 saved=109
2026-04-01 10:53:52 | INFO     | scraper_service | [gem] completed — found=6 saved=6
2026-04-01 10:59:47 | INFO     | scraper_service | [tenderontime] completed — found=83 saved=83
2026-04-02 10:11:16 | INFO     | scraper_service | Redis connected
2026-04-02 10:14:27 | ERROR    | scraper_service | [tenderdetail] failed: Message: 'chromedriver.exe' executable may have wrong permissions.

2026-04-02 10:26:29 | INFO     | scraper_service | [tender247] completed — found=3 saved=3
2026-04-02 10:41:26 | INFO     | scraper_service | [tenderdetail] completed — found=19 saved=19
2026-04-02 10:45:48 | INFO     | scraper_service | [biddetail] completed — found=108 saved=108
2026-04-02 10:49:15 | INFO     | scraper_service | [gem] completed — found=12 saved=12
2026-04-02 11:05:35 | INFO     | scraper_service | [tenderontime] completed — found=72 saved=72
2026-04-06 09:47:49 | INFO     | scraper_service | Redis connected
2026-04-06 09:48:45 | ERROR    | scraper_service | [tender247] failed: [WinError 5] Access is denied: 'C:\\Users\\LEONEX\\.wdm\\drivers\\chromedriver\\win64\\146.0.7680.165\\chromedriver-win32\\chromedriver.exe' -> 'C:\\Users\\LEONEX\\.wdm\\drivers\\chromedriver\\win64\\146.0.7680.165\\chromedriver.exe'
2026-04-06 10:11:38 | INFO     | scraper_service | [tender247] completed — found=32 saved=32
2026-04-06 10:13:55 | INFO     | scraper_service | [tenderdetail] completed — found=16 saved=16
2026-04-06 10:24:11 | INFO     | scraper_service | [biddetail] completed — found=107 saved=107
2026-04-06 10:24:12 | INFO     | scraper_service | [gem] completed — found=8 saved=8
2026-04-06 10:44:33 | INFO     | scraper_service | [tenderontime] completed — found=75 saved=75
2026-04-06 14:57:45 | INFO     | scraper_service | Redis connected
2026-04-06 15:02:15 | INFO     | scraper_service | Redis connected
2026-04-06 15:02:17 | INFO     | scraper_service | Redis connected
2026-04-06 15:07:22 | INFO     | scraper_service | Redis connected
2026-04-06 15:07:48 | INFO     | scraper_service | Redis connected
2026-04-06 15:20:11 | INFO     | scraper_service | Redis connected
2026-04-06 15:20:13 | INFO     | scraper_service | Redis connected
2026-04-06 15:21:39 | INFO     | scraper_service | Redis connected
2026-04-06 15:28:15 | INFO     | scraper_service | Redis connected
2026-04-06 15:39:22 | INFO     | scraper_service | Redis connected
2026-04-06 15:45:21 | INFO     | scraper_service | Redis connected
2026-04-06 15:46:09 | INFO     | scraper_service | Redis connected
2026-04-06 16:03:22 | INFO     | scraper_service | Redis connected
2026-04-06 16:05:59 | INFO     | scraper_service | Redis connected
2026-04-06 16:06:44 | INFO     | scraper_service | Redis connected
2026-04-06 16:11:44 | INFO     | scraper_service | Redis connected
2026-04-07 09:58:37 | INFO     | scraper_service | Redis connected
2026-04-07 09:58:53 | INFO     | scraper_service | Redis connected
2026-04-07 10:01:33 | ERROR    | scraper_service | [tender247] failed: Message: 'chromedriver.exe' executable may have wrong permissions.

2026-04-07 10:01:33 | ERROR    | scraper_service | [tenderdetail] failed: Message: 'chromedriver.exe' executable may have wrong permissions.

2026-04-07 10:32:40 | INFO     | scraper_service | [tender247] completed — found=32 saved=32
2026-04-07 10:33:41 | INFO     | scraper_service | [tenderdetail] completed — found=15 saved=15
2026-04-07 10:47:30 | INFO     | scraper_service | [biddetail] completed — found=110 saved=110
2026-04-07 10:52:46 | INFO     | scraper_service | [gem] completed — found=6 saved=6
2026-04-07 11:08:03 | INFO     | scraper_service | [tenderontime] completed — found=71 saved=71
2026-04-07 11:26:01 | INFO     | scraper_service | Redis connected
2026-04-07 11:36:04 | INFO     | scraper_service | [biddetail] completed — found=0 saved=0
2026-04-07 11:39:12 | INFO     | scraper_service | Redis connected
2026-04-07 11:48:29 | INFO     | scraper_service | [biddetail] completed — found=0 saved=0
2026-04-07 11:52:50 | INFO     | scraper_service | Redis connected
2026-04-07 12:11:48 | INFO     | scraper_service | [biddetail] completed — found=0 saved=0
2026-04-07 12:12:29 | INFO     | scraper_service | Redis connected
2026-04-07 12:20:42 | INFO     | scraper_service | Redis connected
2026-04-07 12:33:24 | INFO     | scraper_service | [biddetail] completed — found=0 saved=0
2026-04-07 12:59:46 | INFO     | scraper_service | Redis connected
2026-04-07 13:00:55 | INFO     | scraper_service | [biddetail] stopped — found=0 saved=0
2026-04-07 13:09:31 | INFO     | scraper_service | Redis connected
2026-04-07 13:22:50 | INFO     | scraper_service | [biddetail] completed — found=0 saved=0
2026-04-07 13:37:58 | INFO     | scraper_service | Redis connected
2026-04-07 13:40:35 | INFO     | scraper_service | Redis connected
2026-04-07 13:41:35 | INFO     | scraper_service | Redis connected
2026-04-07 13:44:27 | INFO     | scraper_service | Redis connected
2026-04-07 13:53:07 | INFO     | scraper_service | Redis connected
2026-04-07 15:00:12 | INFO     | scraper_service | [biddetail] completed — found=382 saved=382
2026-04-07 15:00:55 | INFO     | scraper_service | Redis connected
2026-04-07 15:29:23 | INFO     | scraper_service | [biddetail] completed — found=102 saved=102
2026-04-07 18:08:17 | INFO     | scraper_service | Redis connected
2026-04-07 18:08:20 | INFO     | scraper_service | Redis connected
